,,,,
,,,,
,NOMBRE DE TRYTON,NOMBRE SIMPLIFICADO PARA FACTURADOR,D,GLOSA - PARA CONTABILIDAD
,"[CAD-00109] CLORHIDRATO DE PROXIMETACAINA - PROPARACAINA 0,5% (ANESTEARS)","CLORHIDRATO DE PROXIMETACAINA - PROPARACAINA 0,5% (ANESTEARS)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[CAD-00211] LIQUIDOS DE LIMPIEZA DE LUNAS,LIQUIDOS DE LIMPIEZA DE LUNAS,VENTA DE LIQUIDO DE LIMPIEZA,LIQUIDO DE LIMPIEZA
,[CAD-00507] ELECTRODO ADULTO,ELECTRODO ADULTO,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[CRD-00001] CONSULTA CARDIOLOGIA Y RIESGO QUIRURGICO - PCTE DERIVADO,CONSULTA CARDIOLOGÍA,VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00002] ELECTROCARDIOGRAMA,ELECTROCARDIOGRAMA,VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00008] CONSULTA CARDIOLOGIA Y RIESGO QUIRURGICO - GO VISION,CONSULTA CARDIOLOGÍA,VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00009] ERROR (CONSULTA CARDIOLOGIA Y RIESGO QUIRURGICO - PCTE DERIVADO),CONSULTA CARDIOLOGÍA,VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00015] CONSULTA DE CARDIOLOGÍA,CONSULTA CARDIOLOGÍA,VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00018] ELECTROCARDIOGRAMA HOLTER 24/H,HOLTER,VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00020] MONITOREO AMB.24/H MAPA,HOLTER,VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00022] ECOCARDIOGRAMA DOPLER BIDIRECCIONAL, ECOCARDIOGRAMA DOPPLER BIDIRECCIONAL,VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00030] MAPA + ECOCARDIO/INCLUYE CONSULTA CARDIOLOGICA - CAMPAÑA,MAPA + ECOCARDIO/INCLUYE CONSULTA CARDIOLOGICA,VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00033] PAQUETE CARDIOLOGICO (CONSULTA CARDIOLÓGICA + TOMA DE PRESIÓN + ELECTROCARDIOGRAMA),PAQUETE CARDIOLOGICO (CONSULTA CARDIOLÓGICA + TOMA DE PRESIÓN + ELECTROCARDIOGRAMA),VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00034] PAQUETE DESCARTE (CONSULTA CARDIOLOGICA + ELECTROCARDIOGRAMA + ECOCARDIOGRAMA),PAQUETE DESCARTE (CONSULTA CARDIOLOGICA + ELECTROCARDIOGRAMA + ECOCARDIOGRAMA),VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CRD-00035] PAQUETE HIPERTENSIÓN (CONSULTA CARDIOLOGICA + MAPA),PAQUETE HIPERTENSIÓN (CONSULTA CARDIOLOGICA + MAPA),VENTA DE SERVICIO - CARDIOLOGIA,SERVICIO - CARDIOLOGIA
,[CX-00007] CHALAZION OD u OI,CHALAZION,VENTA DE SERVICIO,SERVICIO
,[CX-00009] PTERIGION 2 OD,PTERIGION,VENTA DE SERVICIO,SERVICIO
,[CX-00015] FACO GATT 1 OD,FACO GATT,VENTA DE SERVICIO,SERVICIO
,[CX-00035] FACO GATT 1 OI,FACO GATT,VENTA DE SERVICIO,SERVICIO
,[CX-00062] IRIDOTOMIA YAG LASER AO,IRIDOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00062] IRIDOTOMIA YAG LASER OD,IRIDOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00062] IRIDOTOMIA YAG LASER OD,IRIDOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00063] IRIDOTOMIA YAG LASER OI,IRIDOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00063] IRIDOTOMIA YAG LASER OI,IRIDOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00064] CAPSULOTOMIA YAG LASER AO,CAPSULOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00064] CAPSULOTOMIA YAG LASER OD,CAPSULOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00064] CAPSULOTOMIA YAG LASER OD,CAPSULOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00065] CAPSULOTOMIA YAG LASER OI,CAPSULOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00065] CAPSULOTOMIA YAG LASER OI,CAPSULOTOMIA YAG LASER,VENTA DE SERVICIO,SERVICIO
,[CX-00066] TRABECULOPLASTIA SELECTIVA LASER – SLT AO,TRABECULOPLASTIA SELECTIVA LASER – SLT,VENTA DE SERVICIO,SERVICIO
,[CX-00066] TRABECULOPLASTIA SELECTIVA LASER – SLT OD,TRABECULOPLASTIA SELECTIVA LASER – SLT,VENTA DE SERVICIO,SERVICIO
