;;
;;
;;
;;
[SER-00005] ECOGRAFÍA OCULAR O ECOGRAFÍA MODO B;ECOGRAFÍA OCULAR O ECOGRAFÍA MODO B;
[SER-00025] ECOGRAFÍA DE SEGMENTO ANTERIOR - UBM;ECOGRAFÍA DE SEGMENTO ANTERIOR - UBM;
ALQUILER LASER;;
[CX-00062] IRIDOTOMIA YAG LASER AO;IRIDOTOMIA YAG LASER;
[CX-00062] IRIDOTOMIA YAG LASER OD;IRIDOTOMIA YAG LASER;
[CX-00063] IRIDOTOMIA YAG LASER OI;IRIDOTOMIA YAG LASER;
[CX-00064] CAPSULOTOMIA YAG LASER AO;CAPSULOTOMIA YAG LASER;
[CX-00064] CAPSULOTOMIA YAG LASER OD;CAPSULOTOMIA YAG LASER;
[CX-00065] CAPSULOTOMIA YAG LASER OI;CAPSULOTOMIA YAG LASER;
[CX-00066] TRABECULOPLASTIA SELECTIVA LASER – SLT AO;TRABECULOPLASTIA SELECTIVA LASER – SLT;
[CX-00139] TRABECULOPLASTIA SELECTIVA LASER – SLT AMBOS OJOS;TRABECULOPLASTIA SELECTIVA LASER – SLT;
[OFT-00104] FOTOCOAGULACION LASER CON ARGON OI;FOTOCOAGULACION LASER CON ARGON;
CARDIOPERU;;
[CRD-00001] CONSULTA CARDIOLOGIA Y RIESGO QUIRURGICO - PCTE DERIVADO;CONSULTA CARDIOLOGÍA;
[CRD-00002] ELECTROCARDIOGRAMA;ELECTROCARDIOGRAMA;
[CRD-00008] CONSULTA CARDIOLOGIA Y RIESGO QUIRURGICO - GO VISION;CONSULTA CARDIOLOGÍA;
[CRD-00009] ERROR (CONSULTA CARDIOLOGIA Y RIESGO QUIRURGICO - PCTE DERIVADO);CONSULTA CARDIOLOGÍA;
[CRD-00015] CONSULTA DE CARDIOLOGÍA;CONSULTA CARDIOLOGÍA;
[CRD-00018] ELECTROCARDIOGRAMA HOLTER 24/H;HOLTER;
[CRD-00020] MONITOREO AMB.24/H MAPA;HOLTER;
[CRD-00022] ECOCARDIOGRAMA DOPLER BIDIRECCIONAL; ECOCARDIOGRAMA DOPPLER BIDIRECCIONAL;
[CRD-00030] MAPA + ECOCARDIO/INCLUYE CONSULTA CARDIOLOGICA - CAMPAÑA;MAPA + ECOCARDIO/INCLUYE CONSULTA CARDIOLOGICA;
;;
[CRD-00033] PAQUETE CARDIOLOGICO (CONSULTA CARDIOLÓGICA + TOMA DE PRESIÓN + ELECTROCARDIOGRAMA);PAQUETE CARDIOLOGICO (CONSULTA CARDIOLÓGICA + TOMA DE PRESIÓN + ELECTROCARDIOGRAMA);
[CRD-00034] PAQUETE DESCARTE (CONSULTA CARDIOLOGICA + ELECTROCARDIOGRAMA + ECOCARDIOGRAMA);PAQUETE DESCARTE (CONSULTA CARDIOLOGICA + ELECTROCARDIOGRAMA + ECOCARDIOGRAMA);
[CRD-00035] PAQUETE HIPERTENSIÓN (CONSULTA CARDIOLOGICA + MAPA);PAQUETE HIPERTENSIÓN (CONSULTA CARDIOLOGICA + MAPA);
CIRUGÍAS;;
[CX-00090] GATT OD;GATT;
[CX-00091] GATT OI;GATT;
[CX-00138] AVASTIN;AVASTIN;
[CX-00146] CX FACO OD;FACO;
[CX-00191] CX EXTRA CAPSULAR OI;EXTRACAPSULAR;
[CX-00216] CX PARA RECAMBIO DE LENTE INTRAOCULAR;RECAMBIO LENTRE INTRAOCULAR;
[CX-00219] TRIAMCINOLONA;TRIAMCINOLONA;
CIRUGÍAS SOCIO;;
[CX-00007] CHALAZION OD u OI;CHALAZION;
[CX-00009] PTERIGION 2 OD;PTERIGION;
[CX-00015] FACO GATT 1 OD;FACO GATT;
[CX-00035] FACO GATT 1 OI;FACO GATT;
[CX-00138] AVASTIN;AVASTIN;
[CX-00198] LASER PUPILOPLASTIA OD;LASER PUPILOPLASTIA;
CONSULTA;;
[OFT-00013] CONSULTA OFTALMOLÓGICA DR GALVEZ - ADULTO PROMO 50%;CONSULTA OFTALMOLÓGICA;
[OFT-00053] CONSULTA OFTALMOLOGIA DRA DIAZ S/ 50;CONSULTA OFTALMOLÓGICA;
[OFT-00055] CONSULTA OFTALMOLÓGICA VIRTUAL;CONSULTA OFTALMOLÓGICA;
[OFT-00058] CONSULTA OFTALMOLOGIA DRA DIAZ S/ 80;CONSULTA OFTALMOLÓGICA;
[OFT-00070] CONSULTA OFTALMOLÓGICA DRA DIAZ - CONTROL;CONSULTA OFTALMOLÓGICA;
[OFT-00073] CONSULTA OCULOPLASTICA;CONSULTA OFTALMOLÓGICA;
[OFT-00074] CONSULTA OFTALMOLOGICA DRA DIAZ S/ 100;CONSULTA OFTALMOLÓGICA;
[OFT-00075] CONSULTA OFTALMOLOGICA DR GALVEZ CLUB GO 20%;CONSULTA OFTALMOLÓGICA;
[OFT-00075] CONSULTA OFTALMOLÓGICA DR GALVEZ CLUB GO 20%;CONSULTA OFTALMOLÓGICA;
[OFT-00076] CONSULTA OFTALMOLOGICA DRA DIAZ CLUB GO 20%;CONSULTA OFTALMOLÓGICA;
